domain,entity,tier,robots_found,wildcard_verdict,ai_agents_blocked,has_ai_clause,feed_hint,checked_date
eltiempo.com,eltiempo.com,press,True,partial,GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Bytespider|meta-externalagent,True,https://www.eltiempo.com/rss-news/eltiempo.xml,2026-08-14
elespectador.com,elespectador.com,press,True,partial,,False,https://www.elespectador.com/arc/outboundfeeds/sitemap-index/?outputType=xml,2026-08-14
lasillavacia.com,lasillavacia.com,press,True,partial,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Applebot-Extended|Bytespider|meta-externalagent,True,https://www.lasillavacia.com/sitemap_index.xml,2026-08-14
semana.com,semana.com,press,True,partial,,False,https://www.semana.com/arc/outboundfeeds/news-sitemap-index/?outputType=xml,2026-08-14
elpais.com,elpais.com,press,True,partial,CCBot|ClaudeBot|PerplexityBot|Bytespider,True,,2026-08-14
bbc.com,bbc.com,press,True,partial,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Applebot-Extended|Bytespider|meta-externalagent,True,https://www.bbc.com/sitemaps/https-index-com-archive.xml,2026-08-14
infobae.com,infobae.com,press,True,partial,,False,https://www.infobae.com/arc/outboundfeeds/sitemap2/,2026-08-14
elcolombiano.com,elcolombiano.com,press,True,partial,,False,https://www.elcolombiano.com/sitemap.xml,2026-08-14
caracol.com.co,caracol.com.co,press,True,partial,,False,https://caracol.com.co/arc/outboundfeeds/googlenewssitemap/latest/?outputType=xml,2026-08-14
cnnespanol.cnn.com,cnn.com,press,True,partial,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Applebot-Extended|Bytespider|meta-externalagent,True,https://cnnespanol.cnn.com/sitemap/index.xml,2026-08-14
portafolio.co,portafolio.co,press,True,partial,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Bytespider|meta-externalagent,True,https://www.portafolio.co/sitemap-index.xml,2026-08-14
wradio.com.co,wradio.com.co,press,True,partial,,False,/feed.aspx,2026-08-14
larepublica.co,larepublica.co,press,True,partial,,False,https://www.larepublica.co/sitemapindex,2026-08-14
rcnradio.com,rcnradio.com,press,True,partial,,False,https://www.rcnradio.com/sitemap.xml,2026-08-14
dw.com,dw.com,press,True,partial,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Applebot-Extended|Bytespider|meta-externalagent,True,/*/user/feedback/status?type=*,2026-08-14
bluradio.com,bluradio.com,press,True,partial,GPTBot|ChatGPT-User,True,https://www.bluradio.com/sitemap.xml,2026-08-14
nytimes.com,nytimes.com,press,True,partial,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot|Applebot-Extended|Bytespider|meta-externalagent,True,/athletic/rss-feed/,2026-08-14
france24.com,france24.com,press,True,allowed,Google-Extended|GPTBot|ChatGPT-User|CCBot|ClaudeBot|anthropic-ai|PerplexityBot,True,https://www.france24.com/sitemaps/fr/index.xml,2026-08-14
elpais.com.co,elpais.com.co,press,True,partial,,False,https://www.elpais.com.co/arc/outboundfeeds/sitemap/?outputType=xml,2026-08-14
reuters.com,reuters.com,press,True,blocked,ChatGPT-User,True,https://www.reuters.com/arc/outboundfeeds/sitemap-index/?outputType=xml,2026-08-14
elheraldo.co,elheraldo.co,press,True,partial,GPTBot|CCBot|ClaudeBot|PerplexityBot|Bytespider,True,https://www.elheraldo.co/arc/outboundfeeds/sitemap-index/,2026-08-14
lafm.com.co,lafm.com.co,press,True,partial,,False,https://www.lafm.com.co/sitemapindex,2026-08-14
cambiocolombia.com,cambiocolombia.com,press,True,partial,,False,https://cambiocolombia.com/sitemap.xml,2026-08-14
